,text,score,magnitude
0,"portland lioum portlandriots mbappe portlandmoms portlandprotest
",40.0%,40.0%
0,"first time record number  tests conducted single day  s…
",10.0%,10.0%
0,"cantu leaveinconditioning repair cream  provides intense moisture leaving hair soft manageable…
",90.0%,90.0%
0,"august  new massachusetts travel rule massachusetts travel form failure comply may result  fine p…
",-30.0%,30.0%
0,"podcast wearable wrist tracker detect symptoms early stage available market ne…
",0.0%,0.0%
0,"first time record number  tests conducted single day  s…
",10.0%,10.0%
0," how’s things winner businessowner
",0.0%,0.0%
0," record numbers cases every global region
",10.0%,10.0%
0,"seeing disbelieving – america inc braces earnings bloodbath stocks
",20.0%,20.0%
0,"dushman
",30.0%,30.0%
0,"bangladesh updated situation reports  july  source mohfw coronavirus…
",-40.0%,40.0%
0,"handshaking seriously wow wonder cant reduce cases leaders world d…
",10.0%,10.0%
0,"first time record number  tests conducted single day  s…
",10.0%,10.0%
0,"delhi india reported reduction  active cases last  hours currently  acti…
",-20.0%,20.0%
0,"good dawn chamberlain nhsengland beneficialchanges team ntl ambulance strategy transformati…
",80.0%,80.0%
0,"breaking philippines’ tally breaches  mark  new cases 
",-10.0%,10.0%
0,"student migration beginning end term warrants attention universities could act amplifie…
",-20.0%,20.0%
0,"high performance simplified azure learning learn azure  minutes series
",90.0%,90.0%
0,"whatthehell real know seriously i’d rather die become human…
",-60.0%,60.0%
0,"students exms august  also asked report college  july for…
",0.0%,0.0%
0,"riskfree decision schoolreopenings decisionmakers must balance risks kids contracting andor…
",-70.0%,70.0%
0,"repelaineluria fcc adopted  rural tribal priority window ensure better broadbandaccess tribes…
",10.0%,10.0%
0,"markwarner fcc adopted  rural tribal priority window ensure better broadbandaccess tribes bu…
",0.0%,0.0%
0,"timkaine fcc adopted  rural tribal priority window ensure better broadbandaccess tribes but…
",-20.0%,20.0%
0,"enough farce historic reality check
",-10.0%,10.0%
0,"information broadcasting ministry recommended union home ministry cinema halls the…
",0.0%,0.0%
0,"andrealeadsom oh please take rosetinted sun glasses early inaction govt led…
",-50.0%,50.0%
0,"paid visit shivajinagars broadway hospital indiranagars esi hospital care centre ccc shantin…
",0.0%,0.0%
0,"nine patients recovered recovered cases rise  hpbsrilanka…
",40.0%,40.0%
0,"inaugurated first kiosk automatic vending machine patna jn railway station passengers trave…
",10.0%,10.0%
0,"niagara divide new york state population   cases  deaths ontario population …
",-40.0%,40.0%
0,"preshitorian folkdeejay horrific death toll heartbreaking way commenting the…
",-80.0%,80.0%
0,"study reveals infect ears
",-30.0%,30.0%
0,"face masks become mandatory supermarkets public stores uk however almost sto…
",-40.0%,40.0%
0,"smh convincing folk well die
",-20.0%,20.0%
0,"mask cover nose mouth nose mouth didn’t think really needed explained v…
",-30.0%,30.0%
0,"advanced vaccine candidates world list including top  late clinical stage phase  covid…
",20.0%,20.0%
0,"india one world’s lowest infection death rate informs drharshvardhan sco health ministers’…
",0.0%,0.0%
0,"majority agree masks role us response purdueunivnews
",10.0%,10.0%
0,"“if describe task job invidious mean unpleasant likely make unpo…
",-70.0%,70.0%
0,"persecution muslim women kyrgyzstan continues even pandemic state committee nati…
",-70.0%,70.0%
0,"breaking provinces visayas region recorded cases siquijor logged first cases
",-10.0%,10.0%
0,"mrchrisfixedodd life perfect see good opportunity make use yes thats it…
",80.0%,80.0%
0,"dry food needy coronapandemic pandemic time choti si asha team dedicatedly working thi…
",-30.0%,30.0%
0,"democrats perfect fck nah passed bill would benefit working americans senatemajldr th…
",20.0%,20.0%
0,"i’m pleased speaking worldvisionuk live next week humanitarian situation displaced syrians…
",30.0%,30.0%
0,"update new cases singapore  tot  armenia  tot  aust…
",-10.0%,10.0%
0,"pakistan reported  new infections saturday recorded  deaths caused debilitating…
",-70.0%,70.0%
0,"shivrajsinghchouhan tests postivie
",10.0%,10.0%
0,"get facts trusted local sources diverse writers expert analysis reasoned investigation pure unad…
",-30.0%,30.0%
0,"staying safe peakdistrict wool masks rage saturdaymotivation nature
",50.0%,50.0%
0,"saharareporters nddconline nigeriagov dear officialefcc kindly assist people lagos authenticate t…
",10.0%,10.0%
0,"state trajectory
",10.0%,10.0%
0,"isnt odd difficult uk learn experience countries bbcnews it…
",0.0%,0.0%
0,"employers start things even arrived communities opera…
",0.0%,0.0%
0,"sancerre village photo alexaimephotogr sancerre france instagram new instagram …
",10.0%,10.0%
0,"according boris johnson uk papers morning failures government lack ppe…
",-70.0%,70.0%
0,"displaced lowincome communities affected pandemic lockdown contributions partners…
",-20.0%,20.0%
0,"sushant gupta president bjym udhampur raise issue water supply among union minister dr jitendra singh amp…
",-20.0%,20.0%
0,"ciarancuffe tomwatson  donnellystephen ciaran surely aware complaints irish…
",-20.0%,20.0%
0,"uj sport webinar trapped foreign country take chatroom international studentath…
",0.0%,0.0%
0,"towards inclusive resiliency recovery plan inclusivedevelopment citiesforall
",30.0%,30.0%
0,"bjp party many nonsense people sambitpatra biplabdeb one union minister arjun ram megha…
",-80.0%,80.0%
0,"value get paying rent  years treasure trendingtopic adbproperties realestatelife…
",30.0%,30.0%
0," new cases  new deaths india  gmt coronavirusupdate coronaviruspandemic
",0.0%,0.0%
0,"wef research shows least effective materials face masks …
",-70.0%,70.0%
0,"madhya pradesh cm shivraj singh chouhan says tested positive aware stay home
",0.0%,0.0%
0,"good morning  we’ve got prettiest lounge wears visit shop  may als…
",90.0%,90.0%
0,"live time people wanting wearing mask die social media higher the…
",-30.0%,30.0%
0,"uaes biggest petroleumconference held virtually confirmed organizer events othe…
",20.0%,20.0%
0,"benjealous rolandsmartin think youre demented supporting trap killing health car…
",-70.0%,70.0%
0,"safety tourists uganda number one priority says tourism minister butime
",0.0%,0.0%
0,"pending formalities delay plasma therapy goa
",0.0%,0.0%
0,"timeslive derekhanekom many veterans thereasking
",10.0%,10.0%
0,"first stop darkside red light therapy tour photobiomodulaion redlighttherapy sportsrecovery…
",40.0%,40.0%
0,"antibody tests tropical medical bureau offering antibody tests selected clini…
",0.0%,0.0%
0," new death cases recorded brings total number deaths sultanate …
",-60.0%,60.0%
0,"cities lockdown china
",-30.0%,30.0%
0,"archives five years ago great minds stepped style cant wait things go back nor…
",60.0%,60.0%
0,"ive backed globaljusticeuk campaign ensure potential vaccine available – j…
",60.0%,60.0%
0," bad news belgium country registered  new cases one day comparable ea…
",-80.0%,80.0%
0,"deaf training  awareness nyeri county public service hall behind huduma centre nyeri even pwd…
",0.0%,0.0%
0,"cases  july  • new cases  • imported  • local   linked  source yet • days…
",0.0%,20.0%
0,"india without social security hit crisis also positive feedback loop less tran…
",-10.0%,10.0%
0,"medical appliance business completely dominated chinese cos fogging machines pulse oximeter thermomete…
",-30.0%,30.0%
0,"sold stock video  thanks buyer check profile
",70.0%,70.0%
0,"realdonaldtrump  making numbers focusing  know amount d…
",-10.0%,10.0%
0,"bntx bullish hammer candlestick near 
",80.0%,80.0%
0,"man walks oxford street wearing nothing face mask londolondon maskup oxfordstreet oxford mask…
",-30.0%,30.0%
0,"sushant gupta president bjym udhampur raise issue water supply among union minister dr jitendra singh amp…
",-20.0%,20.0%
0,"first time since beginning time mps aren’t foreign trip benchmark count…
",-30.0%,30.0%
0," told yall common noooo dont listen thankyouchan bbnaijia carryminati …
",-60.0%,60.0%
0,"start making masks becomes addictiveanyone else got loads stock supplies cut ready ke…
",0.0%,0.0%
0,"kind world live people don’t care safety others around safetyfirst…
",-30.0%,30.0%
0,"ghanian government spent  cooked food threeweek lockdown citizens
",-50.0%,50.0%
0,"cantu hydrating cream conditioner  naira helps hair retain natural oils reveals healthier hydrated…
",90.0%,90.0%
0,"ariannemerez update  presidential communications office personnel positive andanar
",40.0%,40.0%
0,"hardest pandemics social behavior change becomes risk virus humans behavior remember
",-60.0%,60.0%
0,"goldensoncenter model impact wearmask neglecting aerosol eyetransmission hello world…
",-40.0%,40.0%
0,"ndunguwainaina davidndii would wish name fewseems exposed systemsleade…
",-10.0%,10.0%
0,"country joke swear government wouldnt assist hustle get money busines…
",-80.0%,80.0%
0,"indonesia cases july   saturday • usual numbers new cases   •  plus added th…
",0.0%,30.0%
0,"cases india cross  lakh nearly  new cases recorded
",10.0%,10.0%
0,"diamondandsilk phone likely move mask facial recognition least fauci neve…
",-30.0%,30.0%
0,"globaltimesnews just look chinas  gdp growth figures well beijing issue  mill…
",-10.0%,10.0%
0,"called party “ law order” conservatives want delete rule law country words…
",-70.0%,70.0%
0," correct strict lockdown one week earlier wed position italy spain fra…
",-10.0%,10.0%
0,"quiet day fantastic day meet detectives inside hse’s contact tracing centre people…
",90.0%,90.0%
0,"happeningnow sanads medical coordinator dr pamela farah delivering presentation part  twop…
",0.0%,0.0%
0,"bignews iitkharagpur researchers developed technology rapid test portable device costs…
",10.0%,10.0%
0,"go fish mask disability
",0.0%,0.0%
0,"please sign share petition show support nurses healthcare workers since icu and…
",-10.0%,10.0%
0,"watch live session doctors speak eminent doctors india give answers questions a…
",-10.0%,10.0%
0,"dear entire world please read thread school reopening plans immediately thoroughly many thanks…
",80.0%,80.0%
0,"business owner reach wider market age 🤔…
",0.0%,0.0%
0,"scammers pose contact tracers scams
",-70.0%,70.0%
0,"able vp profosinbajo im nigerian citizen one publicised anything said ease of…
",30.0%,30.0%
0,"flashback
",0.0%,0.0%
0,"part keeping society safe socialdistancing floor stickers get stickers design…
",50.0%,50.0%
0,"amongst bullshit  brought personal space hygiene something i’m  …
",-80.0%,80.0%
0,"lockdowns reduced seismic activity globally study
",-30.0%,30.0%
0,"one costco reported every employee contacted required wear masks mask…
",-50.0%,50.0%
0,"guys check latest hiphop step video stabydancefit deekaybangerz loyal chrisbrown…
",-20.0%,20.0%
0,"hasn’t pumped media outlets i’ll never know hopefully wake call f…
",-80.0%,80.0%
0,"professors jkesecioglu drmcecconi took part meeting eucommissions clearing house medical dev…
",0.0%,0.0%
0,"return spender northern ireland public urged splash cash ask three writers we…
",-40.0%,40.0%
0,"government report true number deaths allow people honest cause death …
",-60.0%,60.0%
0,"puducherry kadirgamam legislative assembly mla shri jayabal tested positive directed he…
",0.0%,0.0%
0,"hermainem  dollar sign fee free join lets see gets  first …
",0.0%,0.0%
0,"vietnam detects  case since april southern city packed local tourists
",0.0%,0.0%
0,"phenomenal news feeling titanic lost job due donated retire…
",40.0%,40.0%
0,"huge thanks monty devchand laxmi cash carry lenasia extra mile shopping d…
",90.0%,90.0%
0," patients recovered sindh murtaza wahab 
",40.0%,40.0%
0,"hong kong records another record cases  abscbnnews
",0.0%,0.0%
0,"walmart healthcare business fails report staff cases wtf gives walmart authority har…
",-80.0%,80.0%
0,"cases   deaths   recovered   active cases   comp…
",20.0%,20.0%
0,"enough create procurement guidelines evidence show followed we…
",-20.0%,20.0%
0," englandrugby womenssport scrumqueens womensrugbyclub well said women lower risk from…
",0.0%,0.0%
0,"join experts unfold issues concerns people living rarediseases highlight government pr…
",20.0%,20.0%
0,"help slow spread identify risk cases sooner selfreporting symptoms daily even y…
",50.0%,50.0%
0,"razisidd  dckennard fleurbyfleur jeremycorbyn keirstarmer richardburgon uklabour ive di…
",-20.0%,20.0%
0,"review urine  publications including total  patients courology brönimann rebhan…
",-30.0%,30.0%
0," new cases recorded nigeria total cases approaches  mark
",30.0%,30.0%
0,"continues spread us clinical trials cancer patients rely disappearing…
",-10.0%,10.0%
0,"teachersafetyisessential teachers créche workers children confined spaces  peop…
",-50.0%,50.0%
0,"uganda update  new cases   total confirmed cases   new samples tested   total tested …
",0.0%,0.0%
0,"start “why” simonsinek innovation ekohealth long term sustainable healthcare fostering right organ…
",10.0%,10.0%
0,"neurologistsanyone work nature olfactory loss upsit would interes…
",-40.0%,40.0%
0,"lizwheeler realdonaldtrump tomorrow people get blame realdonaldtrump dumb
",-80.0%,80.0%
0,"rocking mask look  disney disneyland disneyworld masks
",90.0%,90.0%
0,"rajasthan india  new deaths reported last  hours info goi
",-20.0%,20.0%
0,"formula one scrapped four seasons races americas due pandemic friday add…
",-60.0%,60.0%
0,"unhumanrights statement zimbabwe harare warned using cover clampdown freedoms expre…
",-60.0%,60.0%
0,"side rain season nobody talks juba southsudan heavyrainalert 
",-50.0%,50.0%
0,"engmokogoti period stupid kenyans
",-80.0%,80.0%
0,"ryanair dont book anything lyinair mess dont refund clean well refund youll get…
",-70.0%,70.0%
0,"philippines siquijor logged first cases  provinces countr…
",0.0%,0.0%
0,"outrageous groups tried drive wedge central government hksar creat…
",-80.0%,80.0%
0,"formula one scrapped four seasons races americas due pandemic friday add…
",-60.0%,60.0%
0,"see corrie coronationstreet incorporated storylines great time…
",90.0%,90.0%
0,"good read creative industries caribbean key areas flagged tend lean toward…
",50.0%,50.0%
0," new death cases recorded brings total number deaths sultanate …
",-60.0%,60.0%
0," organic umhlonyanelenganaartemisia   dm orders medicinal uses  help treat cough c…
",-40.0%,40.0%
0,"go headlines topnews hour cases cross  million nearly  cases  hours …
",-20.0%,20.0%
0,"love plantain 🥰 goes  grill tastetheculture abujavendorshub grillglobal
",90.0%,90.0%
0,"stop making people fearful lets get drinking  risk catching virus minimal stressed
",-60.0%,60.0%
0,"join millions nigerians saynotonipostfee government meant provide enabling environment busine…
",0.0%,0.0%
0,"thank sending jackiedocjt pandemic innovation crisis blockchain rcpsglasgow
",60.0%,60.0%
0,"want display product ecommerce websites plan product shoot according requirements a…
",-30.0%,30.0%
0,"alykhansatchu voanews africans see problem think crocodiles attack wildebees…
",-50.0%,50.0%
0,"surviving pandemic exactly time testrun policies financial implications further…
",0.0%,0.0%
0,"marawareturnstosupersport  organic umhlonyanelenganaartemisia   dm orders medicinal uses…
",-10.0%,10.0%
0," bcgray dangerous people ages many fit healthy still sick  weeks…
",-70.0%,70.0%
0,"first time record number  tests conducted single day  s…
",10.0%,10.0%
0,"us remote case management see docnport llc’s modern mobile secu…
",0.0%,0.0%
0,"latest psych eye blog discusses confinement influenced world’s great intellectuals…
",40.0%,40.0%
0,"sri lanka passed milestone  pcr tests yesterday health minister pavithra wanniarachchi said…
",0.0%,0.0%
0,"afp afpgraphics nearly none case wearmask replaces socialdistancing temporary effect…
",-20.0%,20.0%
0,"jenburkt pharma launches drug ₹ per tablet
",-10.0%,10.0%
0,"coyleneil ottocrat johnson finally woke torpor wasted precious time lethal herdimmunity…
",-50.0%,50.0%
0,"twin benefits liver gastrointestinal detox glycemic control made easy senna auriculata tanners cass…
",60.0%,60.0%
0,"senator hawley grills google consumer privacy via youtube  nwo tracking…
",-20.0%,20.0%
0,"idiotic  imagine thinking  races silverstone year just…
",-80.0%,80.0%
0,"iitkharagpur develops novel technology rapidtest test conducted ultralowcost portab…
",0.0%,0.0%
0,"wtaf shit anything wave new people needing social security disability benefits after…
",-90.0%,90.0%
0,"shivraj singh chouhan health update madhya pradesh cm admitted dedicated chirayu hospital…
",-30.0%,30.0%
0,"anthonybmasters excellent article always anthony intend update blog post deaths and…
",-30.0%,30.0%
0,"anger upset around happened dad since ive actually felt pure grief f…
",-80.0%,80.0%
0,"mrna buyers still happy  ish price target earnings early august
",40.0%,40.0%
0,"wont wear mask one wont wear anything else 🤷‍ curious tales
",80.0%,80.0%
0,"indiafightscorona can shoes spread virus ↗ likelihood spread shoes i…
",-30.0%,30.0%
0,"hi virginactiveuk wasnt ok people showering using pool dropping sweaty gym gear the…
",-80.0%,80.0%
0,"well presentedincisive particular political axe grind wearadamnmask
",0.0%,0.0%
0,"minister health lizzie nkosi hold press briefing cabinet offices  provide updates gover…
",-20.0%,20.0%
0,"tokyotom sheepknowmore plus highrisk disease ppl  we’re seeing focus cases bu…
",-50.0%,50.0%
0,"good morning  sure get enough rest weekend also visit website shop new arrivals in…
",80.0%,80.0%
0,"gausghulam whosunilgrover video needs billboardcharts arrange research project…
",-40.0%,40.0%
0,"shivraj singh chauhan tweeted says admitted  chirayu hospital advice doc…
",-10.0%,10.0%
0,"hypotheses countries much better others fighting pandemic the…
",-40.0%,40.0%
0,"patients confirmed suspected randomly assigned receive hcq azm hcq alone usual c…
",-60.0%,60.0%
0,"government pharmaceutical industry monumental task ahead produce unprecedented volume of…
",20.0%,20.0%
0,"secret change focus energy fighting old building new…
",10.0%,10.0%
0," prudentgoa goacm vijaisardesai happens bunch jokers filled prejudice dis…
",-80.0%,80.0%
0," director head department department mental health behavioural sciences fortis healthc…
",-40.0%,40.0%
0,"revelations nddc see nigeria future youths start telecom busi…
",10.0%,10.0%
0," new cases  new deaths indonesia  gmt coronavirusupdate coronaviruspandemic
",0.0%,0.0%
0,"one vaccine save us saturdaymorning saturdaymotivation saturdaythoughts conspiracy putin trump…
",20.0%,20.0%
0,"anyone else noticed used masks disposal points youd think masks compulsory tptb wouldnt wan…
",-50.0%,50.0%
0,"uttar pradesh health minister jai pratap singh tests positive health…
",40.0%,40.0%
0,"drvyom mariemcinerney wed know lots people call us testing info…
",0.0%,0.0%
0,"experts recommend quality highly accurate antibody tests labs hospitals per icmr guidelines diagnose…
",90.0%,90.0%
0,"it’s known class factor obesity corpulent prime ministers notwithstanding working class sus…
",-20.0%,20.0%
0,"nytimes took solid  weeks increases three plateaus nyc started decline number cases
",-50.0%,50.0%
0,"please stay safe
",0.0%,0.0%
0,"markcheongwl  dndi msfaccess danielreidpath pascaleallotey congratulations mark clear and…
",70.0%,70.0%
0," unnis parents tested positive dr anitha looked along three child…
",-10.0%,10.0%
0,"support federal government us dropped  midjune fmtnews
",-70.0%,70.0%
0,"nature fatshaming species
",40.0%,40.0%
0,"inspirational story love life without barriers brian travers makes seethrough masks help deaf an…
",90.0%,90.0%
0,"theres another protest weeks kabarovsk east russia tens thousands people still prot…
",-80.0%,80.0%
0,"listening citizens uzbekistan survey worldbank whseitz shows poverty rate pandemic increase…
",-40.0%,40.0%
0," chinese nationals hospitalised bahawalpur
",30.0%,30.0%
0,"role homoeopathy international webinar role alternative medicines prevention and…
",0.0%,0.0%
0,"indonesia total  deaths  recovered  active 
",10.0%,10.0%
0,"brandz published edition global valuable brands report includes indepth analysis…
",10.0%,10.0%
0,"worrying facts long term sequela wearamask
",-60.0%,60.0%
0,"jkpcares handwarapolice organised awareness rally medicalexperts chairmanmchandwara yo…
",30.0%,30.0%
0," notyourbob y’all think  options spreading rapidly…
",-30.0%,30.0%
0,"nextlevellion trust guys theyve four hours education training
",0.0%,0.0%
0,"thrown planet lifeline comes climate change
",0.0%,0.0%
0,"so humbled  b part ncdcgov  callcenter  better information communityengagement w…
",10.0%,10.0%
0,"call governmentprivate support effective response local villages
",0.0%,0.0%
0,"city leaders front line response critical access practical tool…
",80.0%,80.0%
0,"apple daily reports hong kong fashion designer william tang  preliminarily tested positive for…
",20.0%,20.0%
0,"people obese overweight higher risk death severe illness warns phe
",-80.0%,80.0%
0,"wearing mask become new norm heres choose right mask …
",50.0%,50.0%
0,"indonesia reports  new cases along  new deaths
",0.0%,0.0%
0,"children could forced compulsory vaccination government plans
",-70.0%,70.0%
0,"cases rising exponentially uttarpradesh yogiaditynath ayodhyarammandir priority
",50.0%,50.0%
0," edition community journal club researchers clinicians available webs…
",0.0%,0.0%
0,"james  says prayers righteous powerful effective time global uncertainty let’s…
",10.0%,10.0%
0,"comprehensive townwide lockdown imposed kalimpong municipality seven days starting   july…
",-30.0%,30.0%
0,"adorable mermaid sitting quietly newhaven harbour leith facemask staysafe streetart wal…
",90.0%,90.0%
0,"“are still cleaning hands regularly don’t expect someone else keep safe” who’s directorgeneral…
",-80.0%,80.0%
0,"great thread ever fantastic comms team showing agencies dorset continuing work pr…
",90.0%,90.0%
0,"earningswithmc asianpaints reports massive  yoy decline net profit rs  crore  due…
",-70.0%,70.0%
0,"i’d give away shoes size   anyone around midrand gauteng dm girlstalkza girltalkza
",-40.0%,40.0%
0," blatant depiction institutions credible local health partners response intern…
",-10.0%,10.0%
0," presentation another moh hospital damascus maybe routine presentation one bo…
",-20.0%,20.0%
0," people likely die chronic dis complication get destroy lungs docs pre…
",-70.0%,70.0%
0," contact families patients damascus past days sharing n…
",0.0%,0.0%
0,"south africa statistics sa  july healthza moetitshidi whoafro drtedros who…
",-10.0%,10.0%
0,"kenyans break safety regulations impunity police officers patrolling public places…
",-60.0%,60.0%
0,"search metrohousingcompound riyadh consider services best option expat…
",0.0%,0.0%
0," organic umhlonyanelenganaartemisia   dm orders medicinal uses  help treat cough c…
",-40.0%,40.0%
0,"india experiencing boom bicycle sales people shun crowded buses trains amid
",0.0%,0.0%
0,"something simple soap make difference preventing spread especially for…
",-10.0%,10.0%
0,"widening inequalities children’s access education workers’ ability continue jobs home d…
",-30.0%,30.0%
0,"comprehensive townwide lockdown imposed kalimpong municipality seven days starting   july…
",-30.0%,30.0%
0,"mix edsheeran carnatic classical music cheered amitabhbachchan hospitalisation…
",40.0%,40.0%
0,"  fanofhrd chouhanshivraj hrdministry drrpnishank ugcindia children futur…
",20.0%,20.0%
0,"day  saturdaymorning derbyshirebevs cant get vaccinated badgers inj…
",-70.0%,70.0%
0,"dont know use air quotes anyway made alive page   
",-50.0%,50.0%
0,"first physical skin research group meeting lockdown birthday celebration july babies…
",10.0%,10.0%
0,"vietnam construction industry stays positive vietnam ncov pandemic…
",60.0%,60.0%
0,"ℝ    …          ” –  thank samsungmobileke…
",40.0%,90.0%
0,"give  every american moneyforthepeople sign petition via change
",-10.0%,10.0%
0,"tokyotom sheepknowmore  metaanalysis randomized trials masks support substantial effect tran…
",50.0%,50.0%
0,"mp chief minister shivrajsinghchouhan tests positive
",60.0%,60.0%
0,"jamesoflynn thisiskatel tamoraht people wearing  face coverings transfer rate reduced 
",-50.0%,50.0%
0,"usa killing diabetes patients alarming rates
",-30.0%,30.0%
0,"usa killing diabetes patients alarming rates
",-30.0%,30.0%
0,"usa killing diabetes patients alarming rates
",-30.0%,30.0%
0,"usa killing diabetes patients alarming rates
",-30.0%,30.0%
0,"usa killing diabetes patients alarming rates
",-30.0%,30.0%
0,"usa killing diabetes patients alarming rates
",-30.0%,30.0%
0,"usa killing diabetes patients alarming rates
",-30.0%,30.0%
0,"usa killing diabetes patients alarming rates
",-30.0%,30.0%
0,"iril farms turned crisis opportunity
",-30.0%,30.0%
0,"bit perspective
",0.0%,0.0%
0,"russia reports  new cases 
",0.0%,0.0%
0,"peak could witnessed states delhi month end early august may aroun…
",0.0%,0.0%
0,"wishing honourable chief minister madhya pradesh shri chouhanshivraj ji speedy recovery diagnose…
",10.0%,10.0%
0,"stressing  ways sleep better
",-50.0%,50.0%
0,"wear mask
",-10.0%,10.0%
0,"extension job retention scheme flexible furloughing hmrc webinar provides overview the…
",30.0%,30.0%
0,"brazilian brasil   pandemic belize coronavirusbrasil brazilië brasilien sarscov…
",10.0%,10.0%
0,"despite lockdown easing risks still high saw infographic think useful the…
",0.0%,0.0%
0,"dear serapnigeria trackang officialefcc still dont believe followlasg jidesanwoolu thi…
",-60.0%,60.0%
0,"tesco went thorntonheath branch first time since lockdown baskets sanitised unlike sainsburys…
",0.0%,0.0%
0,"joke it’s really sick
",-70.0%,70.0%
0,"sas power know
",10.0%,10.0%
0,"struggling understand antibodies provide immunity earth hoping t…
",-40.0%,40.0%
0,"face masks public communication global life different interpretation times newyorktimes…
",0.0%,0.0%
0,"comprehensive townwide lockdown imposed kalimpong municipality seven days starting   july…
",-30.0%,30.0%
0," speaking webinar difficult conversations personal professional levels during…
",0.0%,0.0%
0,"theeconomist reason tie stimulus payments unemployment 🤔americaincrisis
",-10.0%,10.0%
0,"women children dogs loved unconditionally man loved condition provides…
",90.0%,90.0%
0,"sat founder director scott rimmer discuss impacts education comes nex…
",-30.0%,30.0%
0,"cipla gets regulatory nod dcgi launch ciplenza treat mild moderate indiafightscorona
",0.0%,0.0%
0,"assam government said provide essential items worth rs  quarantined f…
",0.0%,0.0%
0,"danaadvocacy ndis weve updated mask info covidvic masks disabilityinformation mask…
",-20.0%,20.0%
0,"nctcharity infant feeding support line busy vital support early days and…
",20.0%,20.0%
0,"accumulated debt result delaying supplier invoices loans our…
",-60.0%,60.0%
0,"demand forecast powered machine learning artificialintelligence dataprocessing demandforecast…
",0.0%,0.0%
0,"clinical trial hopes keep patients ventilators via 
",20.0%,20.0%
0,"give less privileged please hunger dangerous
",-80.0%,80.0%
0,"ascionline working overtime flag misleading ad claims cure mgmt prevention cha…
",-70.0%,70.0%
0,"part   series mentalhealth may topics writer faithfulpundit shares vb h…
",0.0%,0.0%
0,"series nhsled webinars supporting health care workers looking wellbeing …
",0.0%,0.0%
0,"accelerate shift towards electric light commercial vehicles
",30.0%,30.0%
0,"unitedarabemirates come special sterilizing material made  teams used inspectio…
",0.0%,0.0%
0,"ngo art culture without borders artculturewb announces finalists global painting photography…
",10.0%,10.0%
0,"contradickheads online uneducated media know world fucked  someones responsible…
",-20.0%,20.0%
0,"go viral   corona coronavirusuk
",30.0%,30.0%
0,"comprehensive townwide lockdown imposed kalimpong municipality seven days starting   july…
",-30.0%,30.0%
0,"fukushima orchid growers wish spread hope fukushima orchid reconstruction…
",10.0%,10.0%
0,"government planning spend  million buy doses vaccine developed oxford un…
",-20.0%,20.0%
0,"thatstevesack point testing
",10.0%,10.0%
0,"admitted  chirayu hospital advice doctors madhya pradesh chief minister…
",0.0%,0.0%
0,"solidarityrsa it’s even colder public funds unaccounted give us details receive…
",-40.0%,40.0%
0," interviewing extremely elderly ill subjects rare reports hospital intensive care wards…
",-60.0%,60.0%
0,"life perfect see good opportunity make use yes thats fixedguaranty infact you…
",90.0%,90.0%
0,"best investment summer tent telk палатка summer  wuhanvirus eestiloodus…
",90.0%,90.0%
0,"lovely nhs people work us part work wear ppemovies regardless pl…
",70.0%,70.0%
0," one doctor new stnm emergency ward tested positive emergency ward contained week manipal c…
",-10.0%,10.0%
0,"nicolasturgeon jacindaardern update nike conference outbreak update £ sick childrens h…
",-50.0%,50.0%
0,"laurent duvernaytardif opts  nfl season  click link plandemic news…
",0.0%,0.0%
0,"understand peaceful protest seeing crowds concern obviously socially d…
",0.0%,0.0%
0," cases srinagar  cases  patients discharged last…
",-10.0%,10.0%
0,"official source local doncaster infection rates within communities mydoncaster check ou…
",-20.0%,20.0%
0,"young strong athletic people die take care please condolences james doby’s family fr…
",30.0%,30.0%
0,"british retail sales bounce back almost prelockdown levels
",-20.0%,20.0%
0,"india registers around  new cases  hours india
",0.0%,0.0%
0,"doctors innovation check patients question doctors really work whats app fwd vide…
",-40.0%,40.0%
0,"wonder practices italy september virus 🤔🤔🤔
",-20.0%,20.0%
0,"after guilfoyle tested positive president’s son apparently took jet back newyork…
",-60.0%,60.0%
0,"todays pandemic panda gif shes angry people refusing wear masks dont selfish w…
",-80.0%,80.0%
0,"prison populations drop  us pandemic decrease come of…
",-30.0%,30.0%
0,"duty community must balanced right confidentiality best ethics case studyanalysis…
",-20.0%,20.0%
0,"despite lifting restrictions threat still real friend ikram qureshi ikram jeweller…
",0.0%,0.0%
0," wear bed shower taking  i’m genuinely interested…
",30.0%,30.0%
0,"biharcmmissing biharonventilator request cm come ac room visit hospitals conditio…
",-20.0%,20.0%
0,"news ohio reports  new cases  highest date friday update
",0.0%,0.0%
0,"infections pushing us even worse lockdown 
",-80.0%,80.0%
0,"qatar deserving best standard medical treatment social distancing apps cut public transportat…
",40.0%,40.0%
0,"imminent time bombs awaits port moresby  enough beds treat cases dont enough beds…
",-70.0%,70.0%
0," new cases  new deaths philippines  gmt coronavirusupdate coronaviruspandemic
",0.0%,0.0%
0,"thanks nothing president bunker realdonaldtrump asskiss govabbott doctors texas forced…
",-80.0%,80.0%
0,"freethemall abolishice hurricanehanna   treasure respectharry alreadyvideo…
",30.0%,30.0%
0,"singleday spike  positive cases  deaths india last  hours total positive cas…
",50.0%,50.0%
0,"breaking update india inks currency deal srilanka checkmate china keen counter china’s influen…
",-60.0%,60.0%
0,"mention friends🤦‍ mandhubabulu mandhubabulu friends boyswillbeboys…
",0.0%,0.0%
